text,intent,responses
Hi,greeting,"['Hello!', 'Good to see you again!', 'Hi there, how can I help?']"
How are you?,greeting,"['Hello!', 'Good to see you again!', 'Hi there, how can I help?']"
Is anyone there?,greeting,"['Hello!', 'Good to see you again!', 'Hi there, how can I help?']"
Hello,greeting,"['Hello!', 'Good to see you again!', 'Hi there, how can I help?']"
Good day,greeting,"['Hello!', 'Good to see you again!', 'Hi there, how can I help?']"
What's up,greeting,"['Hello!', 'Good to see you again!', 'Hi there, how can I help?']"
how are ya,greeting,"['Hello!', 'Good to see you again!', 'Hi there, how can I help?']"
heyy,greeting,"['Hello!', 'Good to see you again!', 'Hi there, how can I help?']"
whatsup,greeting,"['Hello!', 'Good to see you again!', 'Hi there, how can I help?']"
??? ??? ??,greeting,"['Hello!', 'Good to see you again!', 'Hi there, how can I help?']"
cya,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
see you,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
bye bye,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
See you later,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
Goodbye,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
I am Leaving,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
Bye,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
Have a Good day,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
talk to you later,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
ttyl,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
i got to go,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
gtg,goodbye,"['Sad to see you go :(', 'Talk to you later', 'Goodbye!', 'Come back soon']"
what is the name of your developers,creator,['College students']
what is the name of your creators,creator,['College students']
what is the name of the developers,creator,['College students']
what is the name of the creators,creator,['College students']
who created you,creator,['College students']
your developers,creator,['College students']
your creators,creator,['College students']
who are your developers,creator,['College students']
developers,creator,['College students']
you are made by,creator,['College students']
you are made by whom,creator,['College students']
who created you,creator,['College students']
who create you,creator,['College students']
creators,creator,['College students']
who made you,creator,['College students']
who designed you,creator,['College students']
name,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
your name,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
do you have a name,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
what are you called,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
what is your name,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
what should I call you,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
whats your name?,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
what are you,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
who are you,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
who is this,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
what am i chatting to,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
who am i taking to,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
what are you,name,"['You can call me Mind Reader.', ""I'm Mind Reader"", 'I am a Chatbot.', 'I am your helper']"
timing of college,hours,['College is open 8am-5pm Monday-Saturday!']
what is college timing,hours,['College is open 8am-5pm Monday-Saturday!']
working days,hours,['College is open 8am-5pm Monday-Saturday!']
when are you guys open,hours,['College is open 8am-5pm Monday-Saturday!']
what are your hours,hours,['College is open 8am-5pm Monday-Saturday!']
hours of operation,hours,['College is open 8am-5pm Monday-Saturday!']
when is the college open,hours,['College is open 8am-5pm Monday-Saturday!']
college timing,hours,['College is open 8am-5pm Monday-Saturday!']
what about college timing,hours,['College is open 8am-5pm Monday-Saturday!']
is college open on saturday,hours,['College is open 8am-5pm Monday-Saturday!']
tell something about college timing,hours,['College is open 8am-5pm Monday-Saturday!']
what is the college  hours,hours,['College is open 8am-5pm Monday-Saturday!']
when should i come to college,hours,['College is open 8am-5pm Monday-Saturday!']
when should i attend college,hours,['College is open 8am-5pm Monday-Saturday!']
what is my college time,hours,['College is open 8am-5pm Monday-Saturday!']
college timing,hours,['College is open 8am-5pm Monday-Saturday!']
timing college,hours,['College is open 8am-5pm Monday-Saturday!']
more info,number,['You can contact at: NUMBER']
contact info,number,['You can contact at: NUMBER']
how to contact college,number,['You can contact at: NUMBER']
college telephone number,number,['You can contact at: NUMBER']
college number,number,['You can contact at: NUMBER']
What is your contact no,number,['You can contact at: NUMBER']
Contact number?,number,['You can contact at: NUMBER']
how to call you,number,['You can contact at: NUMBER']
College phone no?,number,['You can contact at: NUMBER']
how can i contact you,number,['You can contact at: NUMBER']
Can i get your phone number,number,['You can contact at: NUMBER']
how can i call you,number,['You can contact at: NUMBER']
phone number,number,['You can contact at: NUMBER']
phone no,number,['You can contact at: NUMBER']
call,number,['You can contact at: NUMBER']
list of courses,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
list of courses offered,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
list of courses offered in,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
what are the courses offered in your college?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
courses?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
courses offered,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
courses offered in (your univrsity(UNI) name),course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
courses you offer,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
branches?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
courses available at UNI?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
branches available at your college?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
what are the courses in UNI?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
what are branches in UNI?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
what are courses in UNI?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
branches available in UNI?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
can you tell me the courses available in UNI?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
can you tell me the branches available in UNI?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
computer engineering?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
computer,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
Computer engineering?,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
it,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
IT,course,"['Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.']"
